Country,Unique Owners,Unique Properties,Total Property Values,"GDP (current USD, 2018 or latest available - for coverage)",Total Property Value / GDP,Mean Property value,Median Property Value,Number of firms,Mean Age,Number with age variable,Born 1985 or later (34 or younger),Born 1959 or earlier (60 or older),Middle age (35 to 59),Female share,Number of females,Number with gender variable,Properties in Dubai Marina,Properties in Palm Jumeirah,Number of villas,Number of buildings,Share of total values owned by top 10% owners,Share of total values owned by top 10% persons,Share of total values owned by top 10% firms,Share of total values owned by top 1% owners,Share of total values owned by top 1% persons,Share of total values owned by top 1% firms
China,5179,9018,"USD 2,735,116,465",1.39E+13,0.02%,"USD 303,295","USD 191,596",4.9998,42,5139,1373,194,3572,42%,2189,5168,284,87,1069,4.9998,53%,52%,0%,18%,18%,0%
Colombia,78,96,"USD 35,970,570",3.34E+11,0.01%,"USD 374,693","USD 288,962",0,46.1,78,12,7,59,46%,36,78,17,0,19,0,46%,46%,NaN,11%,11%,NaN
Comoros Islands,166,253,"USD 96,003,744",1.19E+09,8.07%,"USD 379,461","USD 199,552",0,42.6,166,45,15,106,25%,41,166,4.9998,4.9998,31,0,55%,55%,NaN,20%,20%,NaN
"Congo, Republic Of",17,30,"USD 12,957,190",1.37E+10,0.09%,"USD 431,906","USD 221,947",0,50.3,17,4.9998,4.9998,12,29%,5,17,4.9998,0,6,0,35%,35%,NaN,18%,18%,NaN
Cook Islands,4.9998,4.9998,"USD 678,340",5.20E+08,0.13%,NaN,NaN,4.9998,,0,0,0,0,,4.9998,4.9998,0,0,4.9998,0,100%,NaN,100%,100%,NaN,100%
Costa Rica,5,6,"USD 758,305",6.24E+10,0.00%,"USD 126,384","USD 141,630",0,44.4,5,4.9998,0,4.9998,,4.9998,5,0,0,0,0,28%,28%,NaN,28%,28%,NaN
Croatia,94,125,"USD 43,025,924",6.23E+10,0.07%,"USD 344,207","USD 233,595",0,45.6,94,19,14,61,44%,41,94,16,7,9,0,47%,47%,NaN,11%,11%,NaN
Cuba,4.9998,4.9998,"USD 613,523",1.00E+11,0.00%,NaN,NaN,0,40,4.9998,0,0,4.9998,,4.9998,4.9998,0,0,0,0,88%,88%,NaN,88%,88%,NaN
Cyprus,121,238,"USD 349,310,867",2.55E+10,1.37%,"USD 1,467,693","USD 390,725",5,47.9,112,18,17,77,31%,36,118,31,9,36,0,82%,78%,3%,65%,65%,3%
Czech Republic,158,224,"USD 89,288,837",2.49E+11,0.04%,"USD 398,611","USD 279,865",5,46.5,146,19,19,108,41%,64,157,35,37,22,0,44%,44%,1%,17%,17%,1%
